# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
       -383.068680,         -90.927611,          11.822299, G570.00
       -388.170517,         -93.322570,          11.396298, G570.05
       -392.646471,         -96.230494,          10.674515, G570.10
       -396.841752,         -98.900341,           9.838052, G570.15
       -401.621420,        -101.133040,           9.330631, G570.20
       -385.750138,         -86.665630,          12.430211, G575.00
       -391.172696,         -87.999624,          11.643928, G575.05
       -396.578078,         -89.844852,          10.671695, G575.10
       -401.078923,         -92.010477,           9.940119, G575.15
       -405.529110,         -91.411636,           9.529808, G575.20
       -385.873500,         -81.616711,          12.540466, G580.00
       -390.946617,         -81.561555,          11.929075, G580.05
       -395.799655,         -81.476581,          10.458800, G580.10
       -400.644545,         -81.152987,           9.139859, G580.15
       -405.804762,         -81.283153,           8.027311, G580.20
       -384.887381,         -76.771909,          12.442220, G585.00
       -390.772660,         -76.767445,          11.090477, G585.05
       -395.216009,         -76.502867,           9.880150, G585.10
       -400.361137,         -76.210009,           8.354340, G585.15
       -404.855469,         -75.528849,           7.134397, G585.20
       -384.811751,         -71.958946,          12.435817, G590.00
       -389.543952,         -71.907217,          10.520527, G590.05
       -394.355430,         -71.515216,           9.037418, G590.10
       -399.274307,         -71.082912,           7.813854, G590.15
       -404.148103,         -70.515080,           6.428081, G590.20
       -383.996671,         -67.076246,          10.985292, G595.00
       -390.119767,         -66.392652,           9.250422, G595.05
       -394.773991,         -65.751982,           7.903376, G595.10
       -399.064707,         -65.381616,           6.624815, G595.15
       -404.162620,         -64.375831,           5.369994, G595.20
       -383.576469,         -62.170235,          10.471523, G600.00
       -388.589171,         -61.547515,           8.884838, G600.05
       -393.383553,         -60.901468,           7.341134, G600.10
       -398.170290,         -60.284626,           6.050675, G600.15
       -403.285620,         -59.727955,           4.916346, G600.20
       -383.010576,         -57.216220,           9.811959, G605.00
       -383.017002,         -57.246333,           9.789298, G605.00
       -388.414795,         -56.723236,           8.330805, G605.05
       -392.624867,         -55.995843,           7.222576, G605.10
       -398.038490,         -55.405900,           5.678237, G605.15
       -403.000967,         -55.079585,           4.382113, G605.20
       -383.004237,         -52.141720,           9.573195, G610.00
       -387.684773,         -51.725804,           8.026126, G610.05
       -397.708553,         -51.314365,           5.415373, G610.15
       -403.016569,         -50.971007,           3.947304, G610.20
       -382.529335,         -47.329137,           9.567847, G615.00
       -382.684986,         -47.459659,           9.425689, G615.00
       -388.217721,         -47.453098,           7.641660, G615.05
       -393.563418,         -47.182144,           6.757214, G615.10
       -397.898789,         -47.543658,           5.692671, G615.15
       -403.101394,         -46.662366,           4.037040, G615.20
       -383.363374,         -42.306699,           9.238722, G620.00
       -382.795480,         -42.303713,           9.494325, G620.00
       -388.490762,         -42.779645,           7.662307, G620.05
       -393.394980,         -42.989737,           6.684988, G620.10
       -403.338820,         -42.596654,           4.253346, G620.20
       -383.663704,         -37.448544,           9.553581, G625.00
       -398.379309,         -38.603059,           5.709972, G625.15
       -403.336744,         -38.894923,           4.535239, G625.20
       -384.227325,         -32.440925,           9.786831, G630.00
       -388.922460,         -33.341270,           8.635966, G630.05
       -394.493996,         -33.347991,           7.242218, G630.10
       -399.001140,         -33.913792,           6.067810, G630.15
       -404.036308,         -34.273691,           5.232948, G630.20
       -385.037682,         -27.518816,          10.390490, G635.00
       -390.133026,         -29.271625,           8.809895, G635.05
       -394.835335,         -29.807935,           7.632857, G635.10
       -398.926818,         -31.483149,           6.338836, G635.15
       -404.387360,         -32.461078,           5.270890, G635.20
       -386.668538,         -23.103793,          10.690964, G640.00
       -391.082976,         -24.642985,           9.196070, G640.05
       -395.620576,         -26.194161,           7.844926, G640.10
       -399.987234,         -28.336339,           6.584421, G640.15
       -404.886712,         -30.492872,           5.496905, G640.20
       -410.895374,         -72.209990,           5.011209, C001
       -373.918477,         -81.382250,          14.336349, C002
       -259.486477,        -186.620580,           8.984838, C003
       -212.093763,        -214.596061,          10.961879, C004
       -174.597279,        -218.515238,          12.378849, C005
       -107.098655,        -154.644395,           1.368341, C006
       -127.509124,        -134.641315,           4.676367, C007
        -27.391129,        -100.009279,           2.980513, C008
         -7.496018,         -89.250970,           2.745256, C009
       -259.072654,        -186.491963,           9.036034, C3
       -403.285620,         -59.727955,           4.916346, G600.20
       -403.000967,         -55.079585,           4.382113, G605.20
       -403.016569,         -50.971007,           3.947304, G610.20
       -403.101394,         -46.662366,           4.037040, G615.20
       -394.493996,         -33.347991,           7.242218, G630.10
       -399.001140,         -33.913792,           6.067810, G630.15
       -404.036308,         -34.273691,           5.232948, G630.20
       -398.926818,         -31.483149,           6.338836, G635.15
       -404.387360,         -32.461078,           5.270890, G635.20
       -404.886712,         -30.492872,           5.496905, G640.20
        -18.332943,         -65.709802,           3.603451, H011.4
        -19.088303,         -67.098329,           3.985984, H011.5
        -20.949182,         -69.772433,           4.364383, H011.6
        -23.103893,         -72.477342,           5.001349, H013
        -31.451453,         -81.663404,           4.958392, H015
        -27.712082,         -92.955381,           3.799711, H016
        -23.447851,         -87.880696,           4.614170, H016.1
        -31.651359,         -95.326510,           3.307451, H016.2
        -33.035899,         -95.707076,           3.143485, H016.3
        -34.384620,         -96.470706,           3.069026, H016.4
        -35.751789,         -97.169335,           2.690400, H016.5
        -37.083070,         -97.733408,           2.515433, H016.6
        -39.902612,         -89.077699,           3.661339, H017
        -41.301088,         -99.625002,           1.606841, H018
        -53.267177,        -104.405565,           0.673938, H020
        -63.406354,         -97.523310,           2.577162, H021
        -64.186611,        -108.502558,           0.254230, H022
        -75.400062,        -102.439595,           2.716628, H023
        -74.957576,        -114.009386,           0.861202, H024
        -85.563401,        -109.499180,           3.043487, H025
        -84.560426,        -121.854417,           0.313385, H026
        -96.219053,        -117.932342,           2.554289, H027
        -91.374721,        -113.531120,           2.465718, H027.1
        -94.512485,        -114.998163,           2.687120, H027.2
        -95.533667,        -116.013975,           2.728611, H027.3
        -98.301158,        -117.951953,           2.976319, H027.4
        -99.631594,        -118.712865,           3.128605, H027.5
       -102.056253,        -120.414889,           3.126029, H027.6
        -95.106439,        -130.516957,           0.943193, H028
        -90.475304,        -125.593309,           0.856010, H028.1
        -92.672213,        -128.295979,           0.800705, H028.2
        -93.920486,        -129.392377,           0.875135, H028.3
        -96.347282,        -131.672573,           1.080766, H028.4
        -97.758478,        -132.570551,           1.209772, H028.5
       -100.496190,        -134.437006,           1.496667, H028.6
       -106.708401,        -126.058277,           2.910596, H029
       -116.855323,        -135.159128,           3.434769, H031
       -111.934808,        -130.487567,           3.112365, H031.1
       -114.341402,        -132.822757,           3.431561, H031.2
       -115.685065,        -134.070636,           3.477119, H031.3
       -117.972303,        -136.309223,           3.430462, H031.4
       -118.977139,        -137.459550,           3.415871, H031.5
       -121.150632,        -139.511325,           3.336374, H031.6
       -125.820574,        -144.193032,           3.589036, H033
       -119.118126,        -156.506451,           2.644605, H034
       -125.637304,        -169.317876,           3.008580, H036
       -137.651965,        -171.649544,           4.691108, H037
       -130.362150,        -181.173669,           4.018599, H038
       -127.831614,        -175.420613,           3.176570, H038.1
       -128.891624,        -178.417871,           3.579494, H038.2
       -129.551847,        -179.966781,           3.814463, H038.3
       -130.809133,        -182.803141,           4.346952, H038.4
       -131.071163,        -184.463402,           4.655441, H038.5
       -132.253334,        -187.659134,           4.976146, H038.6
       -142.817108,        -184.214714,           5.551390, H039
       -134.615065,        -193.934253,           6.243178, H040
       -145.520643,        -195.241074,           7.500334, H041
       -153.411878,        -205.506320,           9.559522, H043
       -157.261801,        -209.994103,          10.399573, H043.1
       -162.464174,        -215.209751,          11.473180, H045
       -159.268692,        -227.705453,          12.296959, H046
       -170.734837,        -223.681447,          12.393806, H047
       -173.989160,        -228.033521,          12.532515, H047.1
       -169.587903,        -236.557550,          12.970452, H048
       -168.814372,        -237.018680,          13.136100, H048.1
       -178.800228,        -232.895322,          12.568029, H049
       -180.300363,        -245.027266,          13.282812, H050
       -174.968226,        -240.904314,          13.244727, H050.1
       -177.530469,        -243.052134,          13.238499, H050.2
       -179.150627,        -243.897595,          13.257666, H050.3
       -181.909534,        -245.415087,          13.134445, H050.4
       -183.716688,        -245.823052,          13.046669, H050.5
       -187.563966,        -246.431243,          12.770178, H050.6
       -188.789261,        -235.806245,          11.939437, H051
       -195.344617,        -247.516226,          11.726893, H052
       -200.994111,        -236.683390,          10.544481, H053
       -204.028575,        -235.504040,          10.131438, H053.2
       -205.454883,        -234.956129,           9.951542, H053.3
       -207.138312,        -234.081024,           9.937605, H053.4
       -208.547502,        -233.532437,           9.583942, H053.5
       -207.620323,        -245.092670,           9.370810, H054
       -222.740690,        -239.972271,           7.095381, H056
       -212.915643,        -243.320067,           8.379225, H056.1
       -216.347369,        -242.643233,           7.817257, H056.2
       -218.227116,        -241.789133,           7.542431, H056.3
       -219.596778,        -241.320531,           7.343767, H056.4
       -221.253738,        -240.787909,           7.297579, H056.5
       -229.421683,        -236.953518,           6.002289, H056.6
       -226.422175,        -227.823606,           7.954914, H057
       -235.239071,        -235.080348,           5.207398, H058
       -237.989579,        -223.019712,           6.953773, H059
       -251.211856,        -217.551769,           6.939336, H061
       -260.552203,        -224.732671,           5.241511, H062
       -262.113710,        -212.398527,           7.223400, H063
       -272.914197,        -218.273422,           7.024642, H064
       -273.037515,        -205.571170,           8.046434, H065
       -267.286403,        -208.965009,           7.688233, H065.1
       -275.512953,        -203.813885,           8.089841, H065.2
       -278.500409,        -201.817976,           7.998395, H065.3
       -279.718203,        -201.034504,           7.956341, H065.4
       -281.206731,        -200.292328,           7.841773, H065.5
       -282.342638,        -199.203381,           7.713314, H065.6
       -294.570957,        -199.779328,           7.859899, H068
       -293.743117,        -187.696627,           6.556993, H069
       -305.523429,        -190.356711,           6.140985, H070
       -315.927834,        -181.308220,           4.662690, H072
       -308.449128,        -187.571946,           5.689506, H072.1
       -309.641731,        -186.455796,           5.502386, H072.2
       -310.689358,        -185.377576,           5.307124, H072.3
       -311.998593,        -184.194361,           5.128075, H072.4
       -313.405585,        -183.207904,           4.933021, H072.5
       -320.945431,        -177.213412,           4.273216, H072.6
       -326.411599,        -173.280459,           4.237561, H074
       -326.225808,        -161.644232,           7.027775, H075
       -338.108892,        -164.722622,           6.188484, H076
       -336.079862,        -152.855306,           8.780051, H077
       -336.101093,        -152.841341,           8.869950, H077
       -331.292010,        -157.196309,           8.197874, H077.1
       -333.656677,        -155.173246,           8.558186, H077.2
       -335.020437,        -153.949914,           8.688088, H077.3
       -340.371050,        -147.849335,           9.007391, H077.6
       -348.697519,        -154.853819,           6.683525, H078
       -345.176200,        -142.348256,           8.838716, H079
       -357.788600,        -142.738058,           6.278818, H080
       -352.701376,        -130.742120,           8.273647, H081
       -364.359690,        -130.717897,           6.292232, H082
       -362.299760,        -118.240300,           8.045913, H083
       -368.571389,        -126.538516,           6.430537, H084.1
       -369.929888,        -125.501120,           6.464828, H084.2
       -371.095222,        -124.373680,           6.505227, H084.3
       -372.187579,        -123.106412,           6.505125, H084.4
       -373.346884,        -122.183757,           6.501581, H084.5
       -380.648528,        -115.883730,           6.862014, H084.6
       -372.781493,        -108.765211,           9.080677, H085
       -385.614001,        -111.209414,           7.898538, H086
       -383.136156,        -113.747500,           7.155229, H086.2
       -384.201434,        -112.564256,           7.480054, H086.3
       -386.923001,        -110.197760,           8.093933, H086.4
       -387.837322,        -109.024987,           8.316176, H086.5
       -389.961561,        -106.454668,           8.734472, H086.6
       -383.827356,         -99.129578,          10.673465, H087
       -396.842494,         -98.877385,           9.841342, H088
       -391.071785,         -87.806108,          11.494292, H089
       -402.366863,         -84.215803,           9.225338, H090
       -399.081327,         -68.971815,           7.283443, H092
       -389.142802,         -61.462087,           8.729960, H093
       -390.783832,         -70.794586,           9.849215, H093.1
       -390.590025,         -69.404072,           9.624258, H093.2
       -390.363314,         -67.818162,           9.464303, H093.3
       -389.960206,         -66.149582,           9.253421, H093.4
       -389.700143,         -64.567068,           9.028898, H093.5
       -388.563851,         -54.990345,           8.041660, H093.6
       -397.231698,         -52.251518,           5.597653, H094
       -388.388119,         -45.551555,           7.613938, H095
       -398.825726,         -38.720565,           5.638990, H096
       -398.043764,         -42.305501,           5.561793, H096.1
       -399.175397,         -32.373175,           6.314245, H097
       -389.325727,         -32.403602,           8.752803, H098
       -283.738896,        -211.470353,           8.401494, H66
        -18.056250,         -82.037466,           4.663166, HT014
       -194.070189,        -236.198778,          11.372810, HT053.1
       -213.987590,        -232.213061,           8.899720, HT055
       -247.375003,        -228.701562,           4.768705, HT060
       -278.425342,        -201.419785,           8.001549, HT065.3
       -282.614060,        -199.892597,           7.823560, HT065.6
       -217.540737,        -215.078178,          10.373577, OCC10
       -217.540950,        -215.074500,          10.370118, OCC10
       -289.256420,        -181.332000,           6.697895, OCC13
       -289.270159,        -181.326789,           6.696089, OCC13
       -289.254594,        -181.326802,           6.700135, OCC13
       -289.255442,        -181.328563,           6.701133, OCC13
       -334.352589,        -146.218043,          10.116828, OCC15
       -334.349744,        -146.214758,          10.110424, OCC15
       -362.869354,        -105.478134,          10.604904, OCC17
       -362.864207,        -105.477328,          10.605852, OCC17
       -410.955639,         -75.854543,           5.775358, OCC19
       -410.962562,         -75.845420,           5.769871, OCC19
        -46.871396,         -79.927168,           5.413795, OCC2
        -46.869184,         -79.931274,           5.414775, OCC2
       -379.669152,         -33.812629,          11.003890, OCC21
       -379.669379,         -33.808588,          10.999017, OCC21
        -41.371051,        -107.672197,          -0.092931, OCC4
        -41.374791,        -107.662050,          -0.089068, OCC4
       -104.507536,        -112.628973,           5.056272, OCC5
       -104.513572,        -112.631779,           5.064197, OCC5
       -122.881729,        -125.139875,           5.779267, OCC6
       -122.880321,        -125.135005,           5.779939, OCC6
       -171.940419,        -202.263935,          11.771896, OCC8
       -171.929332,        -202.262125,          11.722602, OCC8
       -171.940258,        -202.270674,          11.765038, OCC8
       -171.939842,        -202.269225,          11.727585, OCC8
       -103.678350,        -139.192883,           1.825961, OLDTEMP
       -388.498727,         -45.959309,           7.566716, PILOT3T
       -395.053780,         -32.255862,           7.222391, S0483
        -95.535140,        -126.963338,           1.446954, S1408
        -23.326351,         -72.656322,           5.067028, SU
        -93.090571,        -128.167717,           0.820758, SU2
       -102.844645,        -119.901479,           3.300615, SU3
       -397.070533,         -32.360693,           6.680485, SU4
        -18.090184,         -65.672464,           3.515038, T011.4
        -18.865571,         -67.142340,           3.887927, T011.5
        -20.722672,         -69.753271,           4.335838, T011.6
        -10.507876,         -71.271395,           2.730695, T012
        -31.231060,         -81.665226,           4.955687, T015
        -27.513234,         -92.915023,           3.794394, T016
        -23.351285,         -87.674786,           4.614283, T016.1
        -31.373342,         -95.314145,           3.286146, T016.2
        -32.801222,         -95.696779,           3.157245, T016.3
        -34.158093,         -96.468715,           3.080894, T016.4
        -35.512646,         -97.214013,           2.718534, T016.5
        -36.845042,         -97.718075,           2.487091, T016.6
        -39.666912,         -89.052661,           3.677773, T017
        -41.111567,         -99.505570,           1.656410, T018
        -53.092076,        -104.245494,           0.703263, T020
        -63.182046,         -97.545686,           2.550789, T021
        -63.956838,        -108.517111,           0.230773, T022
        -75.171808,        -102.469590,           2.646182, T023
        -74.720553,        -113.993056,           0.804487, T024
        -85.345491,        -109.538529,           3.032516, T025
        -84.352910,        -121.871696,           0.151041, T026
        -95.977417,        -117.940115,           2.507506, T027
        -91.121747,        -113.517885,           2.426875, T027.1
        -94.387446,        -115.169731,           2.632454, T027.2
        -95.209705,        -116.000957,           2.663910, T027.3
        -98.087006,        -117.965593,           2.930069, T027.4
        -99.387640,        -118.718838,           3.086566, T027.5
       -101.787025,        -120.405620,           3.111511, T027.6
        -94.886844,        -130.512457,           0.910406, T028
        -90.216562,        -125.584750,           0.841066, T028.1
        -92.426113,        -128.268913,           0.767264, T028.2
        -93.694019,        -129.396811,           0.824531, T028.3
        -96.109780,        -131.660965,           1.007836, T028.4
        -97.565612,        -132.540721,           1.179305, T028.5
       -100.242138,        -134.438980,           1.452439, T028.6
       -106.472401,        -126.060522,           2.880824, T029
       -116.596843,        -135.160387,           3.422117, T031
       -111.739116,        -130.347507,           3.094222, T031.1
       -114.109160,        -132.812713,           3.397876, T031.2
       -117.713780,        -136.296433,           3.458126, T031.4
       -118.744417,        -137.499349,           3.384932, T031.5
       -120.918870,        -139.512212,           3.340570, T031.6
       -113.171700,        -146.734276,           2.352335, T032
       -125.602870,        -144.302126,           3.555466, T033
       -118.890578,        -156.512927,           2.646878, T034
       -130.563576,        -158.906638,           3.989527, T035
       -125.403154,        -169.365986,           2.987704, T036
       -137.440053,        -171.650752,           4.602179, T037
       -130.119593,        -181.184296,           4.028284, T038
       -127.598989,        -175.468529,           3.153211, T038.1
       -128.650550,        -178.406883,           3.552568, T038.2
       -129.327142,        -179.970933,           3.788698, T038.3
       -130.590336,        -182.761819,           4.332240, T038.4
       -130.824164,        -184.442463,           4.654201, T038.5
       -132.058841,        -187.488793,           4.926103, T038.6
       -142.574028,        -184.240264,           5.507693, T039
       -140.497458,        -178.403012,           4.810365, T039.1
       -141.695373,        -181.384880,           5.167230, T039.2
       -142.267392,        -182.793964,           5.312007, T039.3
       -143.145585,        -185.700690,           5.690454, T039.4
       -143.535419,        -187.190025,           5.963752, T039.5
       -143.986342,        -190.360975,           6.375067, T039.6
       -134.386137,        -193.941995,           6.235478, T040
       -145.285171,        -195.291894,           7.475310, T041
       -153.518398,        -205.280044,           9.515115, T043
       -156.977032,        -209.974606,          10.391619, T043.1
       -162.211586,        -215.210690,          11.427113, T045
       -159.027982,        -227.722720,          12.278270, T046
       -170.482951,        -223.685391,          12.386878, T047
       -173.718891,        -228.030878,          12.680627, T047.1
       -169.371893,        -236.541585,          13.002622, T048
       -178.567327,        -232.881616,          12.562193, T049
       -180.059902,        -245.017068,          13.306814, T050
       -174.720129,        -240.911410,          13.232047, T050.1
       -177.354454,        -242.897818,          13.244662, T050.2
       -178.918285,        -243.869098,          13.282071, T050.3
       -181.636525,        -245.425631,          13.197013, T050.4
       -183.466457,        -245.823463,          13.075592, T050.5
       -187.287777,        -246.382187,          12.792816, T050.6
       -188.550648,        -235.772430,          11.969943, T051
       -195.275579,        -247.286582,          11.704095, T052
       -200.739581,        -236.674041,          10.572335, T053
       -204.080924,        -235.764947,          10.083562, T053.2
       -205.214600,        -234.948756,           9.996283, T053.3
       -206.890586,        -234.065322,           9.904699, T053.4
       -208.323844,        -233.513489,           9.632614, T053.5
       -209.930640,        -232.934251,           9.449962, T053.6
       -207.355244,        -245.097786,           9.431305, T054
       -222.496862,        -239.969594,           7.122805, T056
       -212.654269,        -243.303234,           8.445489, T056.1
       -216.106902,        -242.659828,           7.873530, T056.2
       -217.988742,        -241.779357,           7.599991, T056.3
       -219.347587,        -241.313309,           7.404957, T056.4
       -220.980178,        -240.748729,           7.360983, T056.5
       -229.364831,        -236.696921,           6.001510, T056.6
       -226.191355,        -227.841105,           7.969746, T057
       -234.987723,        -235.092947,           5.254204, T058
       -237.743621,        -223.029925,           6.963945, T059
       -251.398990,        -217.708211,           6.777112, T061
       -260.327802,        -224.772891,           5.150471, T062
       -261.934091,        -212.254971,           7.242616, T063
       -272.662011,        -218.271821,           7.013691, T064
       -272.798246,        -205.574826,           8.032894, T065
       -267.050528,        -208.963092,           7.647040, T065.1
       -275.282209,        -203.853846,           8.087763, T065.2
       -278.259821,        -201.831352,           8.023805, T065.3
       -279.470215,        -201.065858,           7.977527, T065.4
       -280.963469,        -200.298764,           7.869327, T065.5
       -282.087509,        -199.210463,           7.650378, T065.6
       -294.427282,        -199.615482,           7.847553, T068
       -283.357847,        -198.034431,           7.772914, T069
       -293.491795,        -187.694138,           6.579665, T069
       -285.791474,        -195.440528,           7.453000, T069.1
       -286.948754,        -194.427109,           7.365427, T069.2
       -288.093397,        -193.333176,           7.256501, T069.3
       -289.223446,        -192.174718,           7.106754, T069.4
       -290.359461,        -191.082549,           7.044990, T069.5
       -298.187250,        -182.937857,           6.057040, T069.6
       -305.266066,        -190.361814,           6.164244, T070
       -315.690424,        -181.320792,           4.704358, T072
       -308.218923,        -187.546825,           5.708240, T072.1
       -309.411235,        -186.438744,           5.545319, T072.2
       -310.420923,        -185.371364,           5.342459, T072.3
       -311.758906,        -184.198678,           5.164052, T072.4
       -313.143778,        -183.200509,           4.978015, T072.5
       -320.686545,        -177.190639,           4.309145, T072.6
       -326.157031,        -173.260331,           4.220709, T074
       -337.855215,        -164.723066,           6.176695, T076
       -335.845274,        -152.823842,           8.892852, T077
       -331.018551,        -157.193397,           8.195923, T077.1
       -333.411735,        -155.165203,           8.570443, T077.2
       -334.754954,        -153.925838,           8.719853, T077.3
       -336.934325,        -151.705624,           9.024126, T077.4
       -337.975777,        -150.238361,           8.750278, T077.5
       -340.129093,        -147.836429,           9.058427, T077.6
       -348.421445,        -154.834559,           6.626607, T078
       -344.961043,        -142.213468,           8.884279, T079
       -357.749306,        -142.484890,           6.302183, T080
       -352.459166,        -130.716688,           8.329461, T081
       -308.152431,        -178.436961,           5.450592, T081OLD
       -364.106491,        -130.710319,           6.290357, T082
       -362.025741,        -118.206555,           8.063837, T083
       -368.298957,        -126.570598,           6.417718, T084.1
       -369.668668,        -125.509395,           6.486695, T084.2
       -370.868108,        -124.349920,           6.527862, T084.3
       -371.939989,        -123.094746,           6.527932, T084.4
       -373.091775,        -122.185831,           6.494271, T084.5
       -380.467134,        -115.721948,           6.921573, T084.6
       -372.553882,        -108.753605,           9.117487, T085
       -385.349122,        -111.169333,           7.898289, T086
       -382.890899,        -113.758148,           7.187611, T086.2
       -383.905058,        -112.554887,           7.481617, T086.3
       -386.644357,        -110.154367,           8.134056, T086.4
       -387.569703,        -109.000545,           8.348969, T086.5
       -389.681297,        -106.382431,           8.780866, T086.6
       -389.721518,        -106.446960,           8.741833, T086.6
       -383.542458,         -99.063887,          10.699838, T087
       -390.827327,         -87.802065,          11.524031, T087
       -396.576317,         -98.890812,           9.828976, T088
       -402.137927,         -84.221935,           9.263339, T090
       -398.855718,         -69.019709,           7.357625, T092
       -400.139395,         -75.290163,           8.233698, T092.1
       -398.717997,         -65.770890,           6.776784, T092.2
       -398.519860,         -64.145245,           6.562825, T092.3
       -398.306905,         -62.509007,           6.336628, T092.4
       -398.144243,         -61.034389,           6.125264, T092.5
       -397.955779,         -59.383021,           5.924126, T092.6
       -388.890357,         -61.467319,           8.815398, T093
       -390.515059,         -70.831006,           9.936912, T093.1
       -390.297649,         -69.405372,           9.689058, T093.2
       -390.112778,         -67.808410,           9.522709, T093.3
       -389.686856,         -66.162728,           9.336738, T093.4
       -389.469725,         -64.545332,           9.116714, T093.5
       -388.367144,         -54.985211,           8.111687, T093.6
       -396.982582,         -52.254535,           5.655420, T094
       -388.153152,         -45.543698,           7.672395, T095
       -398.590641,         -38.714084,           5.699830, T096
       -397.820271,         -42.391844,           5.592302, T096.1
       -397.172108,         -63.312351,           6.749453, T096OLD
       -398.925842,         -32.390372,           6.403155, T097
       -389.083834,         -32.423991,           8.787460, T098
       -283.503966,        -211.471149,           8.359067, T66
       -241.848941,        -210.878551,           8.689271, occ11
       -271.034838,        -189.661371,           7.969271, occ12
       -320.132565,        -188.229289,           4.519271, occ14
       -355.524054,        -159.853816,           4.889271, occ16
       -376.231258,         -84.929403,          13.769271, occ18
       -381.381309,         -60.707417,          10.959271, occ20
       -406.097695,         -40.628766,           3.809271, occ22
        -47.900407,         -60.250971,           7.759271, occ33
        -41.372516,        -107.661260,          -0.070729, occ4
       -104.505821,        -112.627796,           5.069271, occ5
       -122.885206,        -125.138340,           5.779271, occ6
       -112.048619,        -177.424357,           2.399271, occ7
       -188.133929,        -254.282724,          13.629271, occ9
         16.612564,          -9.482045,          -4.149414, H001
         12.008053,         -14.662270,          -4.496565, H003
         16.163802,         -26.148735,          -7.391741, H004
          4.326659,         -25.573206,          -4.668294, H005
          9.662979,         -36.854925,          -6.413194, H006
         13.707580,         -30.261080,          -6.984525, H006.2
         12.919420,         -31.539994,          -7.032070, H006.3
         12.052242,         -32.983840,          -6.875789, H006.4
         11.284841,         -34.094481,          -6.746703, H006.5
         -3.853218,         -37.697886,          -2.685911, H007
          3.162350,         -47.716406,          -4.182106, H008
          4.875568,         -45.104382,          -4.635864, H008.2
          4.003090,         -46.403232,          -4.479541, H008.3
          2.351810,         -49.061190,          -3.883161, H008.4
          1.562712,         -50.506235,          -3.522663, H008.5
          0.033624,         -53.350126,          -2.742027, H008.6
         -9.489086,         -49.874886,          -0.355982, H009
         -3.321422,         -59.511517,          -0.651106, H010
        -15.875173,         -61.347928,           2.723944, H011
        -12.817088,         -55.602993,           1.192816, H011.1
        -16.588408,         -62.612497,           2.981897, H011.2
        -17.423628,         -64.228050,           3.334442, H011.3
         24.003775,         -16.629612,          -6.988194, HT002
          6.051181,         -41.762782,          -5.224194, HT006.6
         21.257735,           0.000000,          -3.616991, NORTH
         21.266250,           0.000000,          -3.620579, NORTH
         21.257102,          -0.009275,          -3.616761, NORTH
         16.858383,          -9.498134,          -4.185209, T001
          4.527583,         -25.546816,          -4.759235, T005
          9.828369,         -17.633945,          -4.817374, T005.1
          8.908934,         -18.896766,          -4.937716, T005.2
          7.958952,         -20.253914,          -5.051738, T005.3
          7.045029,         -21.508379,          -5.052504, T005.4
          6.098680,         -22.835850,          -4.987964, T005.5
          1.307234,         -30.277427,          -4.046416, T005.6
          9.849233,         -36.814948,          -6.513300, T006
         14.853778,         -28.823226,          -7.348023, T006.1
         13.731293,         -30.502082,          -7.079941, T006.2
         12.266529,         -32.983703,          -6.936075, T006.4
         11.489205,         -34.128534,          -6.823951, T006.5
         -3.616464,         -37.654087,          -2.764409, T007
          3.378549,         -47.749914,          -4.255048, T008
          5.099073,         -45.123501,          -4.723472, T008.2
          4.166344,         -46.227324,          -4.517558, T008.3
          2.575275,         -49.093634,          -3.963781, T008.4
          1.825726,         -50.526062,          -3.632359, T008.5
          0.274227,         -53.361213,          -2.791221, T008.6
         -9.595268,         -49.633107,          -0.360710, T009
         -3.102581,         -59.532100,          -0.702376, T010
        -16.034358,         -61.167663,           2.731376, T011
        -12.570075,         -55.589299,           1.103216, T011.1
        -16.345522,         -62.664237,           2.981025, T011.2
        -17.213487,         -64.229153,           3.304334, T011.3
          0.000000,           0.000000,           0.000000, occ1
