# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
        -61.115234,        -112.732657,          -0.538783, G130.20
        -71.947985,        -100.768105,           2.738979, G135.05
        -69.328497,        -105.207620,           1.362261, G135.10
        -67.109543,        -109.604321,           0.344693, G135.15
        -64.813232,        -114.587763,          -0.434855, G135.20
        -78.478004,         -98.679323,           4.257213, G140.00
        -76.039341,        -102.794781,           2.749977, G140.05
        -73.649056,        -107.092052,           1.862021, G140.10
        -71.333780,        -111.743665,           0.631553, G140.15
        -69.375394,        -116.519323,          -0.201602, G140.20
        -83.167778,        -100.800966,           4.709699, G145.00
        -80.082695,        -106.477210,           2.517085, G145.05
        -77.656927,        -109.293560,           1.775678, G145.10
        -74.934270,        -113.846702,           0.833237, G145.15
        -72.456627,        -118.289055,          -0.158142, G145.20
        -87.170745,        -103.590175,           4.133444, G150.00
        -84.408232,        -107.966473,           2.765199, G150.05
        -81.642624,        -111.833194,           1.586394, G150.10
        -78.414329,        -116.215462,           0.930737, G150.15
        -75.662376,        -120.040713,          -0.405440, G150.20
        -87.995366,        -110.699565,           2.694239, G155.05
        -85.598772,        -115.491122,           1.145305, G155.10
        -82.331716,        -120.054189,          -0.041102, G155.15
        -80.581259,        -123.815895,          -0.836746, G155.20
        -95.080805,        -110.265281,           4.095418, G160.00
        -92.184432,        -114.529501,           2.419798, G160.05
        -89.355229,        -118.938288,           1.265589, G160.10
        -86.461080,        -123.241002,           0.214427, G160.15
        -84.090921,        -127.295187,          -0.876449, G160.20
        -99.043589,        -113.445139,           3.987441, G165.00
        -96.352570,        -117.883728,           2.585416, G165.05
        -96.367705,        -117.857553,           2.569966, G165.05
        -93.236883,        -122.430545,           1.570168, G165.10
        -93.245303,        -122.390297,           1.562729, G165.10
        -90.575147,        -126.166974,           0.849498, G165.15
        -87.114298,        -129.771738,          -0.717979, G165.20
        -99.646995,        -121.130705,           2.764755, G170.05
        -96.428789,        -125.693888,           1.730128, G170.10
        -93.595251,        -129.121620,           0.804931, G170.15
        -89.490687,        -132.804213,          -0.586038, G170.20
       -106.670414,        -120.034502,           4.099288, G175.00
       -103.297340,        -123.882733,           2.646949, G175.05
       -100.122158,        -127.870024,           2.671092, G175.10
        -96.427416,        -131.429517,           1.032453, G175.15
        -93.225426,        -134.726325,           0.059469, G175.20
       -110.746255,        -123.016226,           4.048271, G180.00
       -103.327329,        -129.849553,           2.548957, G180.10
       -100.045477,        -133.540079,           1.487163, G180.15
        -96.376137,        -137.116931,           0.576010, G180.20
       -114.749774,        -126.048273,           4.088418, G185.00
       -110.839248,        -129.789653,           3.012085, G185.05
       -107.576421,        -133.412621,           2.649565, G185.10
       -103.426397,        -136.570629,           1.783869, G185.15
        -99.977763,        -140.886156,           1.026566, G185.20
       -118.694184,        -129.271717,           4.210501, G190.00
       -114.459214,        -132.928547,           3.451450, G190.05
       -111.258252,        -136.857788,           2.862216, G190.10
       -107.433107,        -140.684238,           2.113619, G190.15
       -122.280202,        -132.801258,           4.262280, G195.00
       -118.376155,        -137.032323,           3.471264, G195.05
       -115.055470,        -140.972330,           3.174151, G195.10
       -111.682816,        -144.329682,           2.365386, G195.15
       -108.131010,        -148.411461,           1.833198, G195.20
       -125.953578,        -136.286638,           4.134374, G200.00
       -122.400777,        -140.197726,           3.484989, G200.05
       -119.088944,        -143.782373,           3.027590, G200.10
       -115.502767,        -146.996675,           2.612117, G200.15
       -115.497866,        -147.000692,           2.618767, G200.15
       -128.753520,        -140.557887,           4.319679, G205.00
       -124.709633,        -143.683099,           3.533607, G205.05
       -120.652425,        -147.084924,           2.864097, G205.10
       -116.892389,        -150.488189,           2.740705, G205.15
       -112.288707,        -153.068429,           2.360406, G205.20
       -131.123081,        -144.790733,           4.512778, G210.00
       -127.411556,        -147.393146,           3.818584, G210.05
       -122.684756,        -150.459361,           2.933753, G210.10
       -118.733906,        -153.390363,           3.724612, G210.15
       -114.619199,        -156.524535,           2.040162, G210.20
       -123.552229,        -154.054453,           3.675010, G215.10
       -119.143913,        -156.863228,           2.692933, G215.15
       -114.914599,        -159.353555,           1.952493, G215.20
       -130.718163,        -156.511559,           4.077967, G220.05
       -120.554000,        -160.219819,           2.617577, G220.15
       -120.559718,        -160.245936,           2.611547, G220.15
       -115.878501,        -162.550717,           1.874817, G220.20
       -136.309073,        -158.956375,           4.899081, G225.00
       -131.876954,        -161.044043,           4.092915, G225.05
       -127.517403,        -163.309427,           3.355684, G225.10
       -122.981274,        -165.326459,           2.866322, G225.15
       -117.742789,        -168.108287,           1.932101, G225.20
       -139.178454,        -163.036740,           5.178678, G230.00
       -134.805875,        -165.499436,           4.407430, G230.05
       -130.353984,        -168.287977,           3.669652, G230.10
       -126.377533,        -170.918008,           3.076265, G230.15
       -121.614637,        -173.456158,           2.615545, G230.20
       -141.270203,        -167.664722,           5.296790, G235.00
       -136.145108,        -169.507378,           4.491079, G235.05
       -132.147910,        -173.212461,           3.863708, G235.10
       -127.862742,        -175.125376,           3.163816, G235.15
       -123.204251,        -177.465073,           3.170887, G235.20
       -142.799693,        -172.139254,           5.491846, G240.00
       -138.559718,        -174.575904,           4.593892, G240.05
       -133.960194,        -176.907219,           3.992533, G240.10
       -129.637991,        -179.145809,           3.732125, G240.15
       -124.926809,        -181.593748,           3.685363, G240.20
       -145.441912,        -176.521218,           5.479309, G245.00
       -140.220130,        -179.184804,           4.794867, G245.05
       -135.600366,        -182.134358,           4.502732, G245.10
       -131.349155,        -184.483406,           4.649681, G245.15
       -127.188670,        -186.843405,           4.814296, G245.20
       -147.107426,        -181.501956,           5.832582, G250.00
       -143.022213,        -184.119753,           5.533279, G250.05
       -138.899710,        -187.177136,           5.569921, G250.10
       -134.922525,        -190.179470,           5.813792, G250.15
       -130.880603,        -193.265644,           6.192042, G250.20
       -148.089888,        -186.103498,           6.707206, G255.00
       -143.856253,        -188.645153,           6.151345, G255.05
       -139.410420,        -191.617941,           6.181079, G255.10
       -135.860470,        -194.753414,           6.461142, G255.15
       -131.933587,        -198.351632,           6.575091, G255.20
       -149.298013,        -191.068565,           7.166806, G260.00
       -145.031078,        -194.411383,           7.138629, G260.05
       -141.166209,        -196.766542,           7.043273, G260.10
       -136.895888,        -199.610661,           7.128352, G260.15
       -132.613488,        -202.531175,           7.154171, G260.20
       -151.913562,        -193.727404,           7.866760, G265.00
       -147.536767,        -197.717280,           8.149331, G265.05
       -143.820658,        -201.239235,           8.093527, G265.10
       -139.354676,        -204.183976,           8.169495, G265.15
       -136.591252,        -207.665930,           8.533947, G265.20
       -154.562133,        -198.099111,           8.806647, G270.00
       -150.518063,        -202.003690,           8.741845, G270.05
       -147.006131,        -205.371641,           9.015651, G270.10
       -143.517950,        -209.102991,           9.430377, G270.15
       -157.879521,        -201.925258,           9.656558, G275.00
       -153.263326,        -205.234311,           9.513911, G275.05
       -244.255640,        -226.177200,           5.895499, G275.10
       -142.133131,        -216.485622,          10.797462, G275.20
       -160.153412,        -205.520998,          11.055802, G280.00
       -156.411079,        -209.061376,          10.226180, G280.05
       -152.527769,        -212.625375,          10.560525, G280.10
       -148.868211,        -216.002622,          11.061950, G280.15
       -144.616990,        -220.061301,          11.272115, G280.20
       -163.018769,        -209.268748,          10.943453, G285.00
       -159.693177,        -212.416329,          10.861928, G285.05
       -155.809246,        -216.048487,          11.174747, G285.10
       -152.404611,        -219.471532,          11.959207, G285.15
       -147.486950,        -223.623539,          11.722196, G285.20
       -166.371251,        -212.243321,          11.367913, G290.00
       -162.909495,        -216.018505,          11.570458, G290.05
       -159.581947,        -219.698951,          11.750812, G290.10
       -156.041758,        -223.727237,          12.048311, G290.15
       -152.251341,        -227.608905,          12.073314, G290.20
       -169.992314,        -215.464992,          11.974184, G295.00
       -165.998803,        -218.930543,          11.993112, G295.05
       -163.265023,        -223.292762,          12.283918, G295.10
       -161.317462,        -226.767444,          12.545303, G295.15
       -157.212987,        -231.283241,          12.535007, G295.20
       -170.290622,        -222.984148,          12.404599, G300.05
       -167.501336,        -227.129596,          12.587863, G300.10
       -164.849835,        -231.298583,          13.091935, G300.15
       -162.064338,        -235.840962,          13.462458, G300.20
       -176.349917,        -222.562198,          12.589939, G305.00
       -172.909295,        -227.142626,          12.608518, G305.05
       -170.053225,        -231.042437,          12.681737, G305.10
